REPORT 90 E-4,,,,,,,,,,
Population Estimates for California State and Counties,,,,,,,,,,
"January 1, 1981 to January 1, 1990",,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
COUNTY,1-1-81  ,1-1-82  ,1-1-83  ,1-1-84  ,1-1-85  ,1-1-86  ,1-1-87  ,1-1-88  ,1-1-89  ,1-1-90  
  Concord," 103,700 "," 103,400 "," 103,900 "," 105,100 "," 105,400 "," 107,300 "," 108,200 "," 109,000 "," 110,100 "," 111,000 "
  Danville, (1), (1)," 26,900 "," 27,500 "," 27,550 "," 27,750 "," 28,000 "," 28,700 "," 29,750 "," 31,200 "
  El Cerrito," 22,550 "," 22,650 "," 23,000 "," 23,150 "," 23,050 "," 23,150 "," 22,900 "," 22,850 "," 23,100 "," 22,900 "
  Hercules," 6,450 "," 6,475 "," 6,675 "," 7,150 "," 8,500 "," 9,850 "," 11,400 "," 12,300 "," 14,200 "," 16,500 "
  Lafayette," 22,350 "," 22,500 "," 22,550 "," 22,650 "," 22,600 "," 22,650 "," 22,650 "," 22,700 "," 23,000 "," 23,400 "
  Martinez," 23,600 "," 23,900 "," 24,550 "," 25,550 "," 27,550 "," 28,400 "," 29,200 "," 30,300 "," 31,200 "," 31,450 "
  Moraga," 14,950 "," 14,800 "," 14,800 "," 14,700 "," 14,750 "," 15,100 "," 15,300 "," 15,600 "," 15,850 "," 15,950 "
  Orinda, (1), (1), (1), (1), (1)," 16,700 "," 16,500 "," 16,500 "," 16,600 "," 16,650 "
  Pinole," 14,400 "," 14,450 "," 14,500 "," 14,650 "," 14,800 "," 15,150 "," 15,200 "," 15,450 "," 16,000 "," 17,000 "
  Pittsburg," 34,200 "," 36,200 "," 37,350 "," 39,300 "," 39,800 "," 41,300 "," 42,900 "," 44,450 "," 45,300 "," 47,250 "
  Pleasant Hill," 26,500 "," 26,950 "," 26,900 "," 27,100 "," 27,800 "," 28,800 "," 29,550 "," 30,200 "," 31,150 "," 31,550 "
  Richmond," 75,300 "," 76,100 "," 76,800 "," 78,000 "," 78,300 "," 79,700 "," 80,700 "," 82,800 "," 84,300 "," 86,700 "
  San Pablo," 20,450 "," 21,350 "," 21,850 "," 22,450 "," 22,850 "," 23,100 "," 23,550 "," 24,000 "," 24,500 "," 24,700 "
  San Ramon, (1), (1), (1)," 23,150 "," 24,750 "," 25,750 "," 26,900 "," 29,800 "," 33,050 "," 35,000 "
  Walnut Creek," 55,300 "," 55,200 "," 55,900 "," 56,100 "," 56,200 "," 57,400 "," 59,500 "," 59,500 "," 59,600 "," 60,400 "
  Incorporated," 472,300 "," 477,600 "," 510,900 "," 542,700 "," 551,200 "," 581,300 "," 595,300 "," 611,600 "," 629,200 "," 647,500 "
  Unincorporated," 190,600 "," 195,300 "," 173,400 "," 151,400 "," 153,500 "," 137,200 "," 138,100 "," 139,300 "," 143,700 "," 150,100 "
,,,,,,,,,,
DEL NORTE," 18,600 "," 18,800 "," 18,800 "," 18,850 "," 18,950 "," 19,300 "," 19,750 "," 20,450 "," 20,600 "," 21,650 "
  Crescent City," 3,210 "," 3,290 "," 3,440 "," 3,630 "," 3,770 "," 3,920 "," 4,080 "," 4,200 "," 4,180 "," 4,260 "
  Incorporated," 3,210 "," 3,290 "," 3,440 "," 3,630 "," 3,770 "," 3,920 "," 4,080 "," 4,200 "," 4,180 "," 4,260 "
  Unincorporated," 15,400 "," 15,500 "," 15,400 "," 15,200 "," 15,200 "," 15,400 "," 15,700 "," 16,250 "," 16,450 "," 17,400 "
,,,,,,,,,,
EL DORADO," 87,900 "," 90,900 "," 92,800 "," 94,200 "," 97,200 "," 100,900 "," 105,200 "," 110,800 "," 116,800 "," 123,900 "
  Placerville," 6,750 "," 6,875 "," 7,025 "," 7,125 "," 7,100 "," 7,175 "," 7,325 "," 7,825 "," 7,950 "," 8,200 "
  South Lake Tahoe," 20,550 "," 20,400 "," 20,550 "," 20,650 "," 20,550 "," 20,650 "," 21,050 "," 20,900 "," 20,950 "," 21,300 "
  Incorporated," 27,300 "," 27,250 "," 27,600 "," 27,750 "," 27,650 "," 27,800 "," 28,350 "," 28,750 "," 28,900 "," 29,500 "
  Unincorporated," 60,600 "," 63,600 "," 65,200 "," 66,500 "," 69,500 "," 73,100 "," 76,900 "," 82,000 "," 87,900 "," 94,400 "
,,,,,,,,,,
FRESNO," 523,200 "," 535,500 "," 548,900 "," 563,700 "," 577,300 "," 588,300 "," 601,300 "," 618,400 "," 638,500 "," 661,400 "
  Clovis," 34,150 "," 35,450 "," 36,000 "," 37,600 "," 39,700 "," 41,250 "," 43,250 "," 45,300 "," 47,350 "," 49,650 "
  Coalinga," 6,700 "," 6,925 "," 7,125 "," 6,975 "," 7,200 "," 7,300 "," 7,450 "," 7,550 "," 7,900 "," 8,050 "
  Firebaugh," 3,720 "," 3,750 "," 3,970 "," 4,020 "," 3,980 "," 3,920 "," 3,930 "," 3,980 "," 4,060 "," 4,200 "
  Fowler," 2,540 "," 2,610 "," 2,630 "," 2,650 "," 2,850 "," 2,800 "," 2,910 "," 2,910 "," 2,920 "," 3,150 "
  Fresno," 232,200 "," 246,500 "," 258,600 "," 274,300 "," 286,400 "," 297,200 "," 310,200 "," 322,300 "," 335,200 "," 350,700 "
