,"Table 2: E-4 Population Estimates for Cities, Counties, and State",,,,,,,,
,2011-2018 with 2010 Benchmark,,,,,,,,
,,,,,,,,,
COUNTY/CITY,4/1/10,1/1/11,1/1/12,1/1/13,1/1/14,1/1/15,1/1/16,1/1/17,1/1/18
,,,,,,,,,
California,,,,,,,,,
Palos Verdes Estates,"13,438","13,323","13,430","13,445","13,491","13,527","13,514","13,508","13,519"
Paramount           ,"54,098","54,518","54,922","55,219","55,620","55,749","55,834","55,909","56,000"
Pasadena            ,"137,122","138,036","139,050","139,477","140,042","140,353","140,949","143,379","144,388"
Pico Rivera         ,"62,942","63,131","63,509","63,833","64,048","64,220","64,150","64,170","64,260"
Pomona              ,"149,058","151,015","152,143","153,462","154,370","154,759","154,717","154,718","155,687"
Rancho Palos Verdes ,"41,643","41,731","42,083","42,258","42,408","42,521","42,459","42,628","42,723"
Redondo Beach       ,"66,748","67,238","67,631","68,053","68,321","68,548","68,514","68,602","68,677"
Rolling Hills       ,"1,860","1,884","1,901","1,914","1,925","1,930","1,938","1,938","1,939"
Rolling Hills Estates,"8,067","8,026","8,073","8,090","8,096","8,116","8,105","8,106","8,111"
Rosemead            ,"53,764","54,006","54,427","54,670","54,850","54,988","54,926","54,940","55,267"
San Dimas           ,"33,371","33,318","33,522","33,638","33,910","34,476","34,441","34,471","34,507"
San Fernando        ,"23,645","23,690","23,855","24,157","24,246","24,528","24,522","24,560","24,602"
San Gabriel         ,"39,718","39,565","39,862","39,977","39,972","40,087","40,090","40,781","40,920"
San Marino          ,"13,147","13,124","13,204","13,227","13,276","13,319","13,251","13,255","13,272"
Santa Clarita       ,"176,320","177,639","179,063","206,542","208,097","209,274","209,736","215,348","216,589"
Santa Fe Springs    ,"16,223","16,512","16,665","16,974","17,498","17,742","18,213","18,217","18,335"
Santa Monica        ,"89,736","89,186","89,696","90,142","90,793","91,671","91,729","92,305","92,416"
Sierra Madre        ,"10,917","10,881","10,954","10,985","11,012","11,028","10,972","10,973","10,986"
Signal Hill         ,"11,016","11,056","11,172","11,247","11,411","11,560","11,536","11,555","11,749"
South El Monte      ,"20,116","20,100","20,224","20,310","20,359","20,727","20,793","20,864","20,882"
South Gate          ,"94,396","95,041","95,192","96,036","96,905","97,189","97,958","98,047","98,133"
South Pasadena      ,"25,619","25,608","25,776","25,864","25,938","26,045","26,018","26,026","26,047"
Temple City         ,"35,558","35,584","35,846","35,997","36,080","36,140","36,220","36,236","36,411"
Torrance            ,"145,438","146,252","147,215","147,952","148,604","148,986","149,120","149,157","149,245"
Vernon              ,112,120,121,122,122,122,209,209,209
Walnut              ,"29,172","29,337","29,715","29,948","30,020","30,100","30,106","30,151","30,457"
West Covina         ,"106,098","106,188","107,062","107,454","107,753","108,083","108,250","108,289","108,245"
West Hollywood      ,"34,399","34,578","34,808","34,936","35,065","35,737","35,647","35,818","36,723"
Westlake Village    ,"8,270","8,251","8,301","8,323","8,338","8,358","8,350","8,353","8,358"
Whittier            ,"85,331","85,665","86,193","86,598","86,902","87,122","87,088","87,117","87,369"
Balance Of County    ,"1,057,194","1,059,978","1,067,543","1,045,429","1,052,240","1,057,135","1,057,256","1,054,744","1,057,162"
Incorporated,"8,761,411","8,811,824","8,882,251","8,975,170","9,036,218","9,092,526","9,122,913","9,176,527","9,226,567"
County Total,"9,818,605","9,871,802","9,949,794","10,020,599","10,088,458","10,149,661","10,180,169","10,231,271","10,283,729"
,,,,,,,,,
Madera County,,,,,,,,,
Chowchilla          ,"18,720","18,679","17,650","17,221","18,774","18,419","18,111","18,514","18,835"
Madera              ,"61,416","61,579","62,199","62,434","62,699","63,752","64,169","65,172","66,225"
Balance Of County    ,"70,729","70,927","71,530","71,683","71,751","72,656","72,626","73,277","73,834"
Incorporated,"80,136","80,258","79,849","79,655","81,473","82,171","82,280","83,686","85,060"
County Total,"150,865","151,185","151,379","151,338","153,224","154,827","154,906","156,963","158,894"
,,,,,,,,,
Marin County,,,,,,,,,
Belvedere           ,"2,068","2,070","2,081","2,094","2,112","2,117","2,129","2,131","2,135"
Corte Madera        ,"9,253","9,292","9,376","9,430","9,537","9,583","9,631","9,625","10,039"
Fairfax             ,"7,441","7,382","7,445","7,463","7,512","7,549","7,528","7,533","7,534"
Larkspur            ,"11,926","11,918","11,959","12,014","12,134","12,226","12,312","12,325","12,351"
Mill Valley         ,"13,903","14,103","14,404","14,537","14,745","14,936","15,024","14,956","14,963"
Novato              ,"51,904","52,236","52,764","53,374","54,068","54,429","54,593","54,516","54,551"
Ross                ,"2,415","2,429","2,452","2,478","2,506","2,522","2,538","2,536","2,533"
San Anselmo         ,"12,336","12,419","12,575","12,663","12,818","12,928","13,017","12,982","13,000"
San Rafael          ,"57,713","58,108","58,751","59,183","59,885","60,318","60,551","60,661","60,651"
Sausalito           ,"7,061","7,030","7,088","7,113","7,188","7,189","7,227","7,234","7,226"
Tiburon             ,"8,962","9,076","9,254","9,333","9,462","9,602","9,644","9,647","9,648"
Balance Of County    ,"67,427","68,028","67,843","67,840","68,655","69,010","69,016","69,116","69,255"
Incorporated,"184,982","186,063","188,149","189,682","191,967","193,399","194,194","194,146","194,631"
County Total,"252,409","254,691","255,992","257,522","260,622","262,409","263,210","263,262","263,886"
,,,,,,,,,
Mariposa County,,,,,,,,,
County Total,"18,251","18,251","18,249","18,195","18,218","18,172","18,167","18,137","18,129"
,,,,,,,,,
Mendocino County,,,,,,,,,
Fort Bragg          ,"7,273","7,285","7,275","7,326","7,313","7,377","7,440","7,449","7,512"
Point Arena         ,449,439,438,438,437,427,429,437,448
Ukiah               ,"16,075","15,779","15,842","15,887","15,845","15,785","15,796","15,889","16,226"
Willits             ,"4,888","4,901","4,942","4,980","4,994","5,028","5,088","5,092","5,128"
Balance Of County    ,"59,156","59,038","59,157","59,575","59,605","59,598","59,968","60,225","59,985"
Incorporated,"28,685","28,404","28,497","28,631","28,589","28,617","28,753","28,867","29,314"
County Total,"87,841","87,442","87,654","88,206","88,194","88,215","88,721","89,092","89,299"
,,,,,,,,,
Merced County,,,,,,,,,
Atwater             ,"28,168","28,525","29,234","29,472","29,595","30,023","30,490","30,684","31,235"
Dos Palos           ,"4,950","5,034","5,144","5,190","5,212","5,309","5,446","5,491","5,679"
Gustine             ,"5,520","5,547","5,583","5,623","5,634","5,663","5,734","5,782","5,874"
