"Table 2: E-4 Population Estimates for Cities, Counties and State, 2001-2010",,,,,,,,,,,,
with 2000 & 2010 Census Counts,,,,,,,,,,,,
,,,,,,,,,,,,
COUNTY/CITY,4/1/00,1/1/01,1/1/02,1/1/03,1/1/04,1/1/05,1/1/06,1/1/07,1/1/08,1/1/09,1/1/10,4/1/10
,,,,,,,,,,,,
California,,,,,,,,,,,,
Bradbury            ,855,869,904,938,962,974,978,977,999,"1,017","1,039","1,048"
Burbank             ,"100,316","100,869","101,572","102,574","102,872","103,122","103,060","103,121","103,098","103,116","103,363","103,340"
Calabasas           ,"21,356","21,534","21,876","22,280","22,475","22,519","22,775","22,865","22,947","22,989","23,053","23,058"
Carson              ,"89,730","91,353","91,743","92,624","93,340","94,236","93,549","93,108","92,612","92,198","91,799","91,714"
Cerritos            ,"51,488","51,570","51,925","52,344","52,129","51,674","51,013","50,393","49,930","49,479","49,176","49,041"
Claremont           ,"33,998","34,418","34,955","35,186","35,116","34,981","34,856","34,903","34,850","35,259","34,930","34,926"
Commerce            ,"12,568","12,646","12,786","12,901","13,006","12,994","12,893","12,813","12,828","12,825","12,830","12,823"
Compton             ,"93,493","94,182","95,004","95,608","96,091","96,133","96,234","95,980","95,799","96,096","96,444","96,455"
Covina              ,"46,837","47,184","47,622","47,978","48,137","48,147","47,924","47,871","47,701","47,726","47,793","47,796"
Cudahy              ,"24,208","24,507","24,651","24,719","24,672","24,506","24,173","24,053","23,929","23,826","23,846","23,805"
Culver City         ,"38,816","39,089","39,367","39,554","39,635","39,547","39,283","39,048","38,915","38,874","38,896","38,883"
Diamond Bar         ,"56,287","56,508","56,927","57,173","57,082","56,703","56,110","55,789","55,610","55,379","55,654","55,544"
Downey              ,"107,323","108,411","109,705","110,598","111,393","111,416","111,009","110,858","110,860","111,254","111,690","111,772"
Duarte              ,"21,488","21,572","21,714","21,772","21,764","21,726","21,775","21,617","21,356","21,409","21,345","21,321"
El Monte            ,"115,965","116,235","116,785","117,764","117,851","118,295","116,901","115,996","114,920","114,434","113,740","113,475"
El Segundo          ,"16,033","16,200","16,363","16,506","16,612","16,649","16,600","16,599","16,547","16,581","16,650","16,654"
Gardena             ,"57,746","58,373","59,082","59,320","59,468","59,277","59,235","59,095","58,841","58,834","58,854","58,829"
Glendale            ,"194,973","195,735","196,612","197,305","198,025","197,042","195,343","193,696","192,810","192,253","191,954","191,719"
Glendora            ,"49,415","49,847","50,173","50,462","50,630","50,490","50,195","50,055","49,775","49,840","50,100","50,073"
Hawaiian Gardens    ,"14,779","14,816","14,963","15,051","15,000","14,923","14,785","14,627","14,501","14,393","14,287","14,254"
Hawthorne           ,"84,112","84,528","85,040","85,385","85,450","85,030","84,380","84,033","84,684","84,465","84,360","84,293"
Hermosa Beach       ,"18,566","18,767","19,088","19,241","19,389","19,340","19,217","19,174","19,283","19,312","19,477","19,506"
Hidden Hills        ,"1,875","1,904","1,923","1,944","1,941","1,936","1,923","1,902","1,871","1,862","1,863","1,856"
Huntington Park     ,"61,348","61,498","61,618","61,980","61,788","61,318","60,587","60,003","59,462","59,014","58,241","58,114"
Industry            ,777,754,724,693,661,626,589,553,541,481,452,451
Inglewood           ,"112,580","112,900","113,319","113,830","113,368","112,417","111,777","111,428","110,584","110,164","109,831","109,673"
Irwindale           ,"1,446","1,438","1,422","1,403","1,372","1,345","1,377","1,437","1,480","1,461","1,429","1,422"
La Canada Flintridge,"20,318","20,491","20,696","20,832","20,912","20,892","20,562","20,412","20,313","20,249","20,266","20,246"
La Habra Heights    ,"5,712","5,733","5,769","5,812","5,801","5,730","5,582","5,508","5,443","5,398","5,347","5,325"
Lakewood            ,"79,345","79,868","80,458","80,941","81,257","81,040","80,545","80,180","79,968","80,004","80,066","80,048"
La Mirada           ,"46,783","47,118","47,507","48,277","49,281","49,225","48,543","48,666","48,519","48,434","48,528","48,527"
Lancaster           ,"118,718","121,313","124,574","128,362","132,388","137,268","142,417","148,231","151,181","153,613","155,920","156,633"
La Puente           ,"41,063","41,230","41,383","41,459","41,468","41,199","40,784","40,419","40,139","39,990","39,879","39,816"
La Verne            ,"31,638","31,745","31,875","31,944","31,916","31,702","31,333","31,035","31,449","31,234","31,120","31,063"
Lawndale            ,"31,711","31,946","32,223","32,449","32,679","32,672","32,569","32,566","32,568","32,684","32,761","32,769"
Lomita              ,"20,046","20,182","20,387","20,525","20,611","20,595","20,456","20,354","20,284","20,236","20,260","20,256"
Long Beach          ,"461,522","463,689","465,795","469,713","472,013","470,781","467,586","465,017","463,250","462,211","462,685","462,257"
Los Angeles         ,"3,694,742","3,714,515","3,740,481","3,760,410","3,773,549","3,769,131","3,768,645","3,764,063","3,774,497","3,781,952","3,794,586","3,792,621"
Lynwood             ,"69,845","70,352","70,891","71,277","71,191","70,733","70,423","69,896","69,776","69,766","69,786","69,772"
Malibu              ,"12,575","12,695","12,806","12,944","13,052","13,022","12,907","12,823","12,713","12,672","12,659","12,645"
Manhattan Beach     ,"33,852","34,367","35,051","35,649","35,748","35,667","35,278","35,051","34,955","35,147","35,168","35,135"
Maywood             ,"28,083","28,201","28,280","28,309","28,220","28,018","27,792","27,809","27,669","27,551","27,442","27,395"
Monrovia            ,"36,929","37,071","37,235","37,334","37,299","37,114","36,754","36,548","36,369","36,407","36,659","36,590"
Montebello          ,"62,150","62,513","62,939","63,459","63,574","63,359","62,972","62,621","62,505","62,463","62,471","62,500"
Monterey Park       ,"60,051","60,919","61,575","61,790","61,761","61,647","61,140","60,622","60,304","60,441","60,349","60,269"
Norwalk             ,"104,323","104,985","106,523","106,983","107,195","106,921","106,317","105,785","105,404","105,330","105,529","105,549"
Palmdale            ,"116,670","119,599","123,308","126,645","130,547","135,179","139,105","142,873","145,777","150,682","152,473","152,750"
Palos Verdes Estates,"13,340","13,432","13,595","13,683","13,759","13,745","13,556","13,475","13,425","13,421","13,444","13,438"
Paramount           ,"55,266","55,522","55,823","55,956","55,917","55,606","55,087","54,730","54,430","54,201","54,126","54,098"
Pasadena            ,"133,936","134,119","135,744","137,416","137,555","137,501","136,411","135,424","135,305","136,502","136,912","137,122"
