"county","year","total.pop","property.sum","violent.nr.sum","totalcrime.sum","st.le.sum","cnty.le.sum","prosecution.sum","publicdefense.sum","probationdept.sum","st.le.sum_per.crime","cnty.le.sum_per.crime","prosecution.sum_per.crime","publicdefense.sum_per.crime","probationdept.sum_per.crime"
"Imperial",2014,178868,5536,550,6086,472,472,69,25,96,775.550443641144,775.550443641144,113.374958922116,41.0778836674335,157.739073282944
"Imperial",2015,179839,6039,696,6735,478,478,71,26,94,709.725315515961,709.725315515961,105.419450631032,38.6043058648849,139.569413511507
"Imperial",2016,180980,5195,642,5837,472,472,70,26,101,808.634572554394,808.634572554394,119.924618811033,44.543429844098,173.034092855919
"Imperial",2017,182830,4836,583,5419,453,453,75,25,99,835.947591806606,835.947591806606,138.401919173279,46.1339730577597,182.690533308729
"Inyo",2003,18593,365,41,406,93,93,14,NA,36,2290.64039408867,2290.64039408867,344.827586206897,NA,886.699507389163
"Inyo",2004,18578,428,48,476,87,87,13,NA,36,1827.73109243697,1827.73109243697,273.109243697479,NA,756.302521008403
"Inyo",2005,18478,437,78,515,87,87,13,NA,38,1689.32038834951,1689.32038834951,252.427184466019,NA,737.864077669903
"Inyo",2006,18370,323,71,394,89,89,13,NA,37,2258.88324873096,2258.88324873096,329.94923857868,NA,939.086294416244
"Inyo",2007,18426,331,133,464,90,90,13,NA,37,1939.65517241379,1939.65517241379,280.172413793103,NA,797.413793103448
"Inyo",2008,18318,377,84,461,76,76,14,NA,38,1648.59002169197,1648.59002169197,303.687635574837,NA,824.295010845987
"Inyo",2009,18544,270,69,339,76,76,14,NA,38,2241.88790560472,2241.88790560472,412.979351032448,NA,1120.94395280236
"Inyo",2010,18546,245,65,310,71,71,14,NA,32,2290.32258064516,2290.32258064516,451.612903225806,NA,1032.25806451613
"Inyo",2011,18401,267,60,327,70,70,13,NA,31,2140.67278287462,2140.67278287462,397.553516819572,NA,948.012232415902
"Inyo",2012,18370,325,79,404,70,70,13,NA,31,1732.67326732673,1732.67326732673,321.782178217822,NA,767.326732673267
"Inyo",2013,18377,308,68,376,71,71,13,0,34,1888.29787234043,1888.29787234043,345.744680851064,0,904.255319148936
"Inyo",2014,18340,303,92,395,86,86,13,0,32,2177.21518987342,2177.21518987342,329.113924050633,0,810.126582278481
"Inyo",2015,18197,240,88,328,90,90,11,0,32,2743.90243902439,2743.90243902439,335.365853658537,0,975.609756097561
